id;title;price;promo_price;url
3682477;Трактор Bruder John Deere с прицепом 62-104;3 799 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3682477/
2690361;Мини-погрузчик Bruder SCHAEFFER 2034;1 869 ₽;1 588 ₽;https://www.detmir.ru/product/index/id/2690361/
3638394;Машина Hot Wheels Фрикционная монстр-трак 1:16 с аммортизаторами зеленый Hot Wheels;3 249 ₽;2 176 ₽;https://www.detmir.ru/product/index/id/3638394/
1301361;Машина Технопарк Газель Скорая 160768;1 299 ₽;890,01 ₽;https://www.detmir.ru/product/index/id/1301361/
3419069;Портативный кейс AUTOGRAND 8 минибоксов в комплекте 8 моделей суперкаров 72104;1 159 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3419069/
2510441;Транспорт B.Battat Экскаватор-погрузчик WH1005Z;2 799 ₽;1 739 ₽;https://www.detmir.ru/product/index/id/2510441/
3507553;Набор машинок Hot Wheels Масл Мания 10шт GTD79;2 339 ₽;1 583,01 ₽;https://www.detmir.ru/product/index/id/3507553/
3507422;Машинка Hot Wheels Монстр-трак Роджер Доджер GVK40;1 599 ₽;999 ₽;https://www.detmir.ru/product/index/id/3507422/
3200867;Машина Road Rippers Maximum Boost Зеленая 20052;1 999 ₽;1 199 ₽;https://www.detmir.ru/product/index/id/3200867/
2916281;Машинка-трансформер Rastar 1:32 Желтая;999 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/2916281/
3193549;Машина Hot Wheels Turbo Tuning Красная 51170;1 399 ₽;849 ₽;https://www.detmir.ru/product/index/id/3193549/
3178171;Мини-погрузчик Bruder Cat 02-481;2 649 ₽;1 870 ₽;https://www.detmir.ru/product/index/id/3178171/
3269273;Машинка Mobicaro 1:16 РСЗО инерционная WY650D;999 ₽;549 ₽;https://www.detmir.ru/product/index/id/3269273/
3237716;Конструктор LEGO Speed Champions Автомобили 2018 Dodge Challenger SRT Demon+1970 Dodge Charger R/T 75893;3 399 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3237716/
3132626;Машина Dickie Музыкальный гонщик 3764003;1 999 ₽;1 385,01 ₽;https://www.detmir.ru/product/index/id/3132626/
3117509;Автобус Mobicaro инерционный YS248456;499 ₽;329 ₽;https://www.detmir.ru/product/index/id/3117509/
3030039;Трактор Bruder Deutz Agrotron X720 03-080;4 019 ₽;3 299 ₽;https://www.detmir.ru/product/index/id/3030039/
3151715;Набор игровой Hot Wheels Monster Trucks Биг Эйр Брейкаут GCG00;1 999 ₽;989,01 ₽;https://www.detmir.ru/product/index/id/3151715/
3373316;Кейс портативный AUTOGRAND 8 минибоксов для моделей автомобилей 1 60 72101;389 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3373316/
3193548;Машина Hot Wheels Turbo Tuning Синий 51170;1 399 ₽;849 ₽;https://www.detmir.ru/product/index/id/3193548/
2321151;Экскаватор JCB 18см;749 ₽;523,71 ₽;https://www.detmir.ru/product/index/id/2321151/
3269251;Машинка Mobicaro Бетономешалка фрикционная A6677-2;749 ₽;469 ₽;https://www.detmir.ru/product/index/id/3269251/
2864721;Пожарная машина Mobicaro со световыми и звуковыми эффектами 1:12;1 199 ₽;689 ₽;https://www.detmir.ru/product/index/id/2864721/
3627255;Машинка Givito Автовоз-тягач трехуровневый черный + 8 гоночных машин;2 583 ₽;2 324 ₽;https://www.detmir.ru/product/index/id/3627255/
2916271;Машинка-трансформер Rastar 1:32 Красная;999 ₽;579 ₽;https://www.detmir.ru/product/index/id/2916271/
3237713;Конструктор LEGO Speed Champions Автомобиль Ferrari F40 Competizione 75890;1 299 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3237713/
3294853;Грузовик Dickie 3757001;3 999 ₽;2 573,01 ₽;https://www.detmir.ru/product/index/id/3294853/
3294793;Машина Dickie Scania пожарная 3716017;2 999 ₽;1 860,21 ₽;https://www.detmir.ru/product/index/id/3294793/
3682478;Внедорожник Bruder с велосипедистом и фигуркой 02-543;6 729 ₽;4 959,90 ₽;https://www.detmir.ru/product/index/id/3682478/
1430351;Мини Самосвал JCB 18см;749 ₽;523,71 ₽;https://www.detmir.ru/product/index/id/1430351/
3020784;Трактор Zebratoys с ковшом и прицепом Active;699 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3020784/
3030036;Мини-самосвал Bruder JohnDeereGator XUV 855D с фигуркой водителя;3 349 ₽;2 474,01 ₽;https://www.detmir.ru/product/index/id/3030036/
3201183;Машина Dickie Демон скорости моторизированная Оранжевая 3764008;2 999 ₽;1 236,51 ₽;https://www.detmir.ru/product/index/id/3201183/
3682481;Внедорожник Bruder RAM 2500 Полиция с фигуркой 02-505;6 849 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3682481/
3030040;Мини-самосвал Bruder John Deere Gator XUV 855D;2 524 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3030040/
2551131;Машинка B.Battat Мини пожарная;1 399 ₽;779 ₽;https://www.detmir.ru/product/index/id/2551131/
3430146;Машина Технопарк Газель Next Полиция 298765;1 399 ₽;791,01 ₽;https://www.detmir.ru/product/index/id/3430146/
3132610;Машина Dickie полицейская 3306008;2 399 ₽;1 682,01 ₽;https://www.detmir.ru/product/index/id/3132610/
3030029;Трактор Bruder с погрузчиком 03-051;4 959 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3030029/
3269252;Машинка Mobicaro Погрузчик фронтальный фрикционная A6677-5;799 ₽;479 ₽;https://www.detmir.ru/product/index/id/3269252/
3294851;Набор Dickie Аэропорт 3749007;6 999 ₽;6 328,08 ₽;https://www.detmir.ru/product/index/id/3294851/
2551141;Машина B.Battat Мини экскаватор-погрузчик;1 099 ₽;659 ₽;https://www.detmir.ru/product/index/id/2551141/
3657482;Набор машинок Monster Jam мини 5шт 6061232;1 599 ₽;1 286,01 ₽;https://www.detmir.ru/product/index/id/3657482/
3030608;Набор New Bright Строительная техника 1333;2 999 ₽;2 309 ₽;https://www.detmir.ru/product/index/id/3030608/
3269249;Машинка Mobicaro Полиция фрикционная A5577-4;649 ₽;529 ₽;https://www.detmir.ru/product/index/id/3269249/
3088538;Экскаватор Zebratoys Active Зеленый;799 ₽;Нет промо цены;https://www.detmir.ru/product/index/id/3088538/
